monsieur,68
endeavoured,67
reproach,67
finger,67
square,67
directed,67
meanwhile,67
glow,67
partly,67
loves,67
rank,67
shell,67
strike,67
reserve,67
cottage,67
breast,67
occasionally,67
enemy,67
lyme,67
hadnt,67
everywhere,67
milk,67
yellow,67
inquiries,67
warmly,67
suspicion,67
affectionate,67
progress,67
calmly,66
worthy,66
stronger,66
kill,66
coffee,66
thee,66
pushed,66
absorbed,66
blind,66
rivers,66
grounds,66
resentment,66
blush,66
expectation,66
elder,66
exquisite,66
benwick,66
elegant,66
whilst,66
henrietta,66
chose,66
dangerous,66
streets,66
parish,66
solitude,66
steady,66
events,66
agitated,66
letting,66
reality,66
bertrams,66
willing,66
strangers,66
smallest,66
awkward,66
neighbours,66
falling,65
housekeeper,65
casterbridge,65
suspected,65
everdene,65
lucas,65
stirred,65
sheep,65
content,65
visitors,65
lover,65
gently,65
mile,65
yards,65
presented,65
softened,65
surrounded,65
careful,65
cleared,65
increased,65
attempted,65
failed,65
throat,65
clay,65
principles,65
iron,64
gaze,64
level,64
yashvin,64
woods,64
mihalovna,64
official,64
sensation,64
gazing,64
diningroom,64
clerk,64
solemn,64
differently,64
quitted,64
patient,64
particulars,64
risk,64
striking,64
mama,64
respectable,64
slow,64
objection,64
caused,64
brilliant,63
shocked,63
la,63
german,63
harville,63
becoming,63
staircase,63
shining,63
opinions,63
cloud,63
dawn,63
noticing,63
remaining,63
plainly,63
ignorance,63
birds,63
locked,63
offended,63
movements,63
curious,63
addition,63
clock,63
reminded,63
lest,63
idle,63
partner,63
seeking,63
leading,62
gordon,62
hush,62
rid,62
consolation,62
james,62
overcome,62
pointed,62
stir,62
hills,62
bless,62
veil,62
downstairs,62
assist,62
sending,62
mental,62
rough,62
childhood,62
avoided,62
sighed,62
bought,62
doubts,62
decide,62
intervals,62
gift,62
leisure,62
handkerchief,62
priest,62
innocent,62
humble,62
losing,62
material,62
pair,62
served,62
unfortunate,62
stared,61
thrust,61
sole,61
nervous,61
motive,61
s,61
lies,61
porter,61
union,61
vassenka,61
gun,61
season,61
fifty,61
arrangement,61
compliment,61
wheels,61
stiva,61
preparing,61
buried,61
dirty,61
independent,61
brain,61
possession,61
em,61
responded,61
vexed,61
wuthering,61
useless,61
disappointed,60
paris,60
alexander,60
saved,60
boots,60
merton,60
pleasing,60
musgroves,60
self,60
neglect,60
deceived,60
wine,60
bowing,60
mademoiselle,60
shake,60
applied,60
sigh,60
temple,60
frequent,60
comparison,60
continue,60
smell,60
catherines,60
flying,60
composure,60
precisely,60
impatience,60
cared,60
expense,60
fat,59
add,59
ail,59
political,59
attack,59
adieu,59
confused,59
cards,59
forms,59
sacrifice,59
hearth,59
uncles,59
indignation,59
separate,59
unconsciously,59
bird,59
apartment,59
admired,59
alarmed,59
smooth,59
ventured,59
parting,59
fail,59
considerable,59
hoping,59
blow,59
learnt,58
belmont,58
faults,58
resumed,58
permission,58
vexation,58
announced,58
disturbed,58
pit,58
gallery,58
owing,58
labour,58
ridiculous,58
board,58
rode,58
design,58
farewell,58
sensations,58
clergyman,58
embarrassed,58
eagerness,58
acknowledge,58
admire,58
blushed,58
soldier,58
yates,58
roused,58
honoured,58
dim,58
inquire,58
dogs,58
rush,57
sufferings,57
bending,57
older,57
rendered,57
golenishtchev,57
escaped,57
nerves,57
riding,57
powers,57
interval,57
remark,57
sunk,57
meryton,57
dusk,57
possessed,57
uniform,57
delicate,57
commission,57
indulgence,57
silver,57
urged,57
rights,57
reasonable,57
happily,56
marshal,56
article,56
recover,56
luck,56
merit,56
apparent,56
related,56
distinguished,56
candles,56
sincerely,56
flesh,56
turns,56
communication,56
gravity,56
local,56
compliments,56
inquiry,56
source,56
pains,56
inn,56
tranquillity,56
awake,56
intimacy,56
swept,56
authority,55
tied,55
supported,55
ceremony,55
brief,55
katya,55
forgetting,55
example,55
reflections,55
remarked,55
slipped,55
firm,55
longing,55
solitary,55
stars,55
calls,55
speeches,55
recall,55
chairs,55
sing,55
mason,55
original,55
sentiment,55
income,55
cares,55
devoted,55
lonely,55
coverley,55
families,55
peoples,55
hotel,55
wake,55
physical,54
honor,54
cart,54
benefit,54
unwilling,54
recollected,54
remarkable,54
soldiers,54
discourse,54
merry,54
impatient,54
blessing,54
satisfy,54
shed,54
hasty,54
shortly,54
bingleys,54
firmly,54
submit,54
companions,54
bailiff,54
proposal,54
lowood,54
georgiana,54
sotherton,54
races,54
relieved,54
double,54
isabella,54
remembering,54
method,54
willoughby,54
heathcliffs,54
rang,54
aim,54
